person_id,name,gender,age,id_card,insurance_type,region,register_date,status,etl_date
P202301630,曾勇,男,65,4.105021959092478e+17,城乡居民,洛阳市,2023-07-03,在保,2026-07-02
P202300200,冯建国,男,29,4.1040219951224064e+17,城乡居民,驻马店市,2021-02-28,在保,2026-07-02
P202303614,罗磊,男,57,4.1010319670623315e+17,灵活就业,驻马店市,2020-03-08,在保,2026-07-02
P202301989,杨国强,男,38,4.1030219860612064e+17,城乡居民,周口市,2021-08-10,在保,2026-07-02
P202302345,吕磊,男,11,4.101032013100825e+17,城镇职工,平顶山市,2021-02-15,在保,2026-07-02
P202303264,袁萍,女,71,4.102021953100884e+17,城乡居民,洛阳市,2021-05-12,在保,2026-07-02
P202301906,邓文博,男,58,4.101021966121957e+17,城乡居民,开封市,2020-10-25,在保,2026-07-02
P202300766,何丽,女,37,4.1030219870201875e+17,城镇职工,开封市,2022-03-06,在保,2026-07-02
P202300804,董鹏,男,41,4.1010219830811245e+17,城乡,周口市,2024-01-03,停保,2026-07-02
P202301502,陈文彬,男,40,4.101021984012005e+17,城镇职工,安阳市,2020-01-01,在保,2026-07-02
P202301771,蔡晨曦,男,50,4.1070219740227117e+17,城乡居民,周口市,2022-09-18,在保,2026-07-02
P202300107,罗宇航,男,83,4.1070219410624134e+17,城镇职工,漯河市,2021-08-27,在保,2026-07-02
P202302965,苏梦瑶,女,72,4.1010519520706246e+17,城镇职工,许昌市,2024-02-16,在保,2026-07-02
P202300839,卢思琪,女,67,,灵活就业,安阳市,2020-09-06,在保,2026-07-02
P202303972,马雪,女,30,4.1010619941105466e+17,灵活就业,信阳市,2021-05-25,在保,2026-07-02
P202300706,曹敏,女,60,4.104021964102432e+17,城镇职工,新乡市,2023-02-08,在保,2026-07-02
P202304151,蔡淑珍,女,48,4.101041976122694e+17,城镇职工,平顶山市,2021-11-17,在保,2026-07-02
P202303180,冯伟,男,59,4.1010419650308326e+17,灵活就业,开封市,2024-03-07,在保,2026-07-02
P202304777,曾思琪,女,49,4.1010519751205734e+17,城乡居民,安阳市,2023-05-16,在保,2026-07-02
P202300229,林玲,女,37,4.105021987041431e+17,灵活就业,郑州市,2023-02-14,停保,2026-07-02
P202303337,马美琳,女,25,4.1050219990907635e+17,城乡居民,新乡市,2022-08-16,在保,2026-07-02
P202302269,何慧,女,40,4.1010319840907494e+17,城乡居民,鹤壁市,2021-04-09,在保,2026-07-02
P202303853,邓玲,女,73,4.1010319510610765e+17,灵活就业,许昌市,2021-02-15,在保,2026-07-02
P202300502,彭娟,女,84,4.1050219400607424e+17,城乡居民,南阳市,2022-03-19,在保,2026-07-02
P202303129,卢桂英,女,51,4.101031973031123e+17,城镇职工,郑州市,2022-03-06,停保,2026-07-02
P202303353,薛语嫣,女,57,4.103021967090855e+17,城乡居民,商丘市,2020-04-23,停保,2026-07-02
P202304175,徐晨曦,男,46,4.101041978090109e+17,灵活就业,信阳市,2020-06-14,在保,2026-07-02
P202301635,高强,男,43,4.1050219810928083e+17,城镇职工,漯河市,2023-03-28,停保,2026-07-02
P202301481,谢文博,男,63,4.1040219610408646e+17,城乡居民,焦作市,2021-12-30,在保,2026-07-02
P202302116,丁文彬,男,40,4.105021984092499e+17,城镇职工,焦作市,2021-01-17,在保,2026-07-02
P202304000,蔡子轩,男,56,4.102021968070312e+17,城镇职工,驻马店市,2023-11-15,在保,2026-07-02
P202300562,,男,87,4.1010319371217114e+17,城乡居民,平顶山市,2023-04-13,停保,2026-07-02
P202304199,程文博,男,0,4.10106202412236e+17,城乡居民,南阳市,2021-12-16,在保,2026-07-02
P202303698,陈美琳,女,55,4.105021969102174e+17,城乡居民,平顶山市,2021-04-16,在保,2026-07-02
P202301745,蒋婷,女,33,4.1010419910201856e+17,城镇职工,商丘市,2020-07-07,停保,2026-07-02
P202300280,蔡慧,女,43,4.1040219810806086e+17,城镇职工,郑州市,2024-04-07,在保,2026-07-02
P202302267,阎浩,男,17,4.101022007120848e+17,城乡居民,南阳市,2020-08-04,在保,2026-07-02
P202300158,李秀兰,女,58,4.10502196606084e+17,城镇职工,焦作市,2021-04-04,在保,2026-07-02
P202300539,程建华,男,200,4.10302195611192e+17,城镇职工,周口市,2024-02-15,在保,2026-07-02
P202304115,董晓红,女,79,4.101041945071183e+17,灵活就业,许昌市,2020-11-23,在保,2026-07-02
P202304458,吕秀英,女,26,4.101021998081372e+17,城镇职工,周口市,2022-02-11,停保,2026-07-02
P202301651,李浩然,男,60,4.104021964070897e+17,城镇职工,驻马店市,2023-08-07,停保,2026-07-02
P202303151,王强,男,65,4.105021959090567e+17,城乡居民,驻马店市,2021-09-12,在保,2026-07-02
P202300765,朱文博,男,70,4.1010619540626054e+17,城镇职工,驻马店市,2023-05-18,在保,2026-07-02
P202301865,叶玲,女,73,4.10106195102201e+17,城乡居民,焦作市,2023-08-24,在保,2026-07-02
P202303486,罗子轩,,40,4.1050219840426406e+17,灵活就业,信阳市,2021-09-26,在保,2026-07-02
P202300732,卢文博,男,32,4.104021992010288e+17,城镇职工,焦作市,2023-05-17,在保,2026-07-02
P202300085,苏诗涵,女,35,4.1010319890812416e+17,城乡居民,焦作市,2023-10-04,在保,2026-07-02
P202302581,孙萍,女,56,4.1010519680613856e+17,城乡居民,焦作市,2023-11-10,在保,2026-07-02
P202303208,薛斌,男,64,4.1020219600521235e+17,城镇职工,平顶山市,2022-07-14,在保,2026-07-02
P202302975,阎秀英,女,66,4.101051958062711e+17,灵活就业,周口市,2020-01-15,在保,2026-07-02
P202302697,曾超,男,69,4.104021955120556e+17,城镇职工,新乡市,2022-01-16,退保,2026-07-02
P202301339,胡浩然,男,43,4.1010619810304026e+17,城镇职工,周口市,2020-03-21,在保,2026-07-02
P202303903,董莉,女,80,4.105021944091397e+17,城镇职工,商丘市,2023-09-08,在保,2026-07-02
P202300912,胡伟,男,53,4.1050219711224384e+17,城镇职工,南阳市,2022-05-01,停保,2026-07-02
P202300030,王浩,男,44,4.107021980020355e+17,城乡居民,驻马店市,2021-06-27,在保,2026-07-02
P202300678,唐嘉伟,男,81,4.101041943081116e+17,城乡居民,许昌市,2023-01-23,退保,2026-07-02
P202304502,袁玲,女,25,4.101051999122583e+17,灵活就业,新乡市,2020-02-25,在保,2026-07-02
P202303686,邓芳,女,34,4.101021990050667e+17,城乡居民,焦作市,2022-07-24,在保,2026-07-02
P202303742,许静,女,59,4.101041965122164e+17,城镇职工,郑州市,2022-12-29,在保,2026-07-02
P202301621,魏杰,男,52,4.101061972051871e+17,城镇职工,商丘市,2020-05-20,在保,2026-07-02
P202300423,孙杰,男,45,4.101031979070244e+17,城乡居民,驻马店市,2021-06-25,在保,2026-07-02
P202301666,高萍,女,49,4.101031975122421e+17,城镇职工,商丘市,2024-03-29,停保,2026-07-02
P202304990,周鹏,男,93,4.101061931092501e+17,灵活就业,南阳市,2023-05-26,在保,2026-07-02
P202302728,吕子轩,男,74,4.1010619501208646e+17,城镇职工,南阳市,2022-05-19,在保,2026-07-02
P202303194,许美琳,女,38,4.1010219861225606e+17,城乡居民,洛阳市,2023-01-18,在保,2026-07-02
P202303969,朱超,男,86,4.101031938052153e+17,城乡居民,焦作市,2024-03-09,在保,2026-07-02
P202300169,薛凤英,女,45,4.103021979060651e+17,灵活就业,焦作市,2022-11-29,在保,2026-07-02
P202303835,赵思琪,女,32,4.101051992111172e+17,城乡居民,漯河市,2020-09-21,在保,2026-07-02
P202303482,苏秀英,女,3,4.105022021090386e+17,城乡居民,驻马店市,2022-04-06,在保,2026-07-02
P202303470,胡子轩,男,46,4.1040219781105325e+17,城乡居民,安阳市,2024-03-11,在保,2026-07-02
P202300228,周建国,男,30,4.101051994121933e+17,灵活就业,周口市,2024-05-01,在保,2026-07-02
P202302655,高伟,男,38,4.102021986122622e+17,城镇职工,许昌市,2021-04-24,在保,2026-07-02
P202300487,韩艳,女,38,4.101041986082601e+17,城镇职工,南阳市,2022-10-20,在保,2026-07-02
P202301695,冯佳慧,女,52,4.101061972091998e+17,城镇职工,驻马店市,2020-02-16,在保,2026-07-02
P202301201,罗俊杰,男,52,4.10106197211165e+17,城镇职工,周口市,2022-01-01,在保,2026-07-02
P202302686,沈雨彤,女,55,4.101031969040527e+17,城乡居民,焦作市,2024-04-12,停保,2026-07-02
P202303173,沈杰,男,26,4.105021998031748e+17,城乡居民,漯河市,2020-12-16,在保,2026-07-02
P202300024,杨嘉伟,男,24,4.1010520000314496e+17,城乡居民,新乡市,2022-04-01,停保,2026-07-02
P202303085,袁佳慧,女,46,4.103021978101547e+17,城镇职工,安阳市,2021-01-23,在保,2026-07-02
P202303131,袁霞,女,48,4.1040219760121254e+17,城乡居民,平顶山市,2020-08-06,在保,2026-07-02
P202302537,阎梦瑶,女,67,4.103021957091027e+17,城镇职工,信阳市,2023-03-22,在保,2026-07-02
P202302898,宋美琳,女,81,4.107021943012659e+17,城乡,安阳市,2023-12-16,停保,2026-07-02
P202304841,萧强,男,35,4.1030219890515654e+17,城乡居民,许昌市,2021-11-08,在保,2026-07-02
P202302094,郑雪,女,29,4.107021995030167e+17,城镇职工,周口市,2024-01-25,停保,2026-07-02
P202300240,萧丽,女,65,4.102021959030574e+17,城乡居民,信阳市,2021-01-11,停保,2026-07-02
P202303572,,女,73,4.1050219510918355e+17,城乡居民,洛阳市,2020-03-09,在保,2026-07-02
P202303766,王慧,女,50,4.1010419740209197e+17,城镇职工,许昌市,2022-12-04,在保,2026-07-02
P202302017,黄涛,男,45,4.1020219790623155e+17,城镇职工,平顶山市,2022-03-11,在保,2026-07-02
P202304039,马玲,女,49,4.10105197501171e+17,城乡居民,新乡市,2022-04-14,在保,2026-07-02
P202300298,吕海涛,男,55,4.102021969120764e+17,城镇职工,漯河市,2022-04-23,在保,2026-07-02
P202300249,孙嘉伟,男,81,4.101021943041915e+17,灵活就业,漯河市,2020-06-06,在保,2026-07-02
P202302136,傅辉,男,39,4.101051985081868e+17,城乡居民,南阳市,2022-07-08,在保,2026-07-02
P202300374,刘宇航,男,67,4.107021957072233e+17,灵活就业,许昌市,2020-02-22,在保,2026-07-02
P202300882,曾艳,女,40,4.104021984050701e+17,城乡居民,信阳市,2020-05-11,在保,2026-07-02
P202302308,于娟,女,46,4.101021978090898e+17,灵活就业,郑州市,2024-02-27,在保,2026-07-02
P202303888,孙雨彤,女,47,4.101041977060567e+17,城乡居民,漯河市,2020-12-01,在保,2026-07-02
P202304504,张淑珍,女,57,4.101051967081264e+17,城镇职工,安阳市,2021-08-01,在保,2026-07-02
P202302992,王慧,女,60,4.1040219641227066e+17,城镇职工,开封市,2020-07-11,在保,2026-07-02
P202300725,郭秀英,女,53,4.1050219710814214e+17,城乡居民,平顶山市,2020-06-06,在保,2026-07-02
P202302221,唐文彬,男,43,4.1010419810426336e+17,灵活就业,安阳市,2023-01-11,在保,2026-07-02
P202302218,袁思琪,女,48,4.101051976081306e+17,城镇职工,驻马店市,2022-12-12,在保,2026-07-02
P202301469,冯凤英,女,28,4.102021996071589e+17,灵活就业,信阳市,2020-11-08,在保,2026-07-02
P202301593,萧晨曦,男,57,4.1010319671218515e+17,城镇职工,南阳市,2024-02-29,在保,2026-07-02
P202303952,冯凤英,女,34,4.10102199002225e+17,城乡居民,平顶山市,2020-12-13,停保,2026-07-02
P202302446,徐强,男,54,4.1010519701101146e+17,城乡居民,开封市,2020-02-17,在保,2026-07-02
P202303092,蔡永强,男,63,4.1010619610805645e+17,灵活就业,信阳市,2021-03-07,在保,2026-07-02
P202300928,,男,56,4.1010519680615635e+17,灵活就业,驻马店市,2022-04-26,在保,2026-07-02
P202304580,朱雨彤,女,64,4.1010319600317165e+17,城乡居民,商丘市,2020-07-25,在保,2026-07-02
P202304653,胡紫薇,女,50,4.10302197405263e+17,城乡居民,洛阳市,2020-11-20,在保,2026-07-02
P202300600,黄莉,女,56,4.1020219680904845e+17,城乡居民,开封市,2021-09-22,退保,2026-07-02
P202301393,林桂英,女,86,4.101031938120533e+17,城乡居民,平顶山市,,在保,2026-07-02
P202302228,薛雨彤,女,39,4.1030219850118816e+17,城乡居民,安阳市,2023-01-17,退保,2026-07-02
P202304177,萧娟,女,49,4.10105197505049e+17,城乡居民,许昌市,2021-05-20,在保,2026-07-02
P202301610,吴娜,女,45,4.1010519790920506e+17,灵活就业,漯河市,2021-02-18,在保,2026-07-02
P202304291,阎敏,女,59,4.103021965051099e+17,城镇职工,商丘市,2023-09-12,在保,2026-07-02
P202302877,程波,男,33,4.105021991081002e+17,城乡居民,鹤壁市,2020-11-03,在保,2026-07-02
P202303289,董嘉伟,男,38,4.104021986091314e+17,灵活就业,驻马店市,2023-12-09,在保,2026-07-02
P202302143,罗雪,女,53,4.102021971062023e+17,城镇职工,南阳市,2021-10-30,在保,2026-07-02
P202300472,蒋淑珍,女,8,4.1010520160901754e+17,城镇职工,漯河市,2020-07-03,在保,2026-07-02
P202301245,沈嘉伟,男,38,4.1010319860206746e+17,城乡居民,开封市,2021-10-12,在保,2026-07-02
P202303691,周紫薇,女,59,4.1050219650126336e+17,城镇职工,焦作市,2020-05-29,在保,2026-07-02
P202304222,陈玉兰,女,65,4.101031959120576e+17,城乡居民,洛阳市,2022-12-13,在保,2026-07-02
P202301074,郑慧,女,26,4.1070219980901165e+17,灵活就业,许昌市,2021-06-05,停保,2026-07-02
P202301045,赵秀英,女,46,4.1010319780725446e+17,城镇职工,南阳市,2021-11-04,在保,2026-07-02
P202301715,马欣怡,女,40,4.101031984041092e+17,灵活就业,郑州市,2022-12-16,退保,2026-07-02
P202304041,王志强,男,53,4.1010619710903565e+17,城镇职工,洛阳市,2021-03-31,在保,2026-07-02
P202304779,彭鹏,男,30,,城镇职工,漯河市,2023-11-09,在保,2026-07-02
P202301035,李国强,男,41,4.104021983102887e+17,城乡居民,安阳市,2020-11-26,在保,2026-07-02
P202304418,徐超,男,14,4.103022010021452e+17,城镇职工,漯河市,2021-08-22,在保,2026-07-02
P202301753,陈国强,男,38,4.1070219860715776e+17,城镇职工,郑州市,2023-02-15,在保,2026-07-02
P202303650,韩国强,男,42,4.102021982082136e+17,城乡居民,开封市,2023-06-06,在保,2026-07-02
P202304809,朱桂英,女,75,4.101061949031164e+17,灵活就业,开封市,2022-12-27,在保,2026-07-02
P202301555,赵嘉伟,男,45,4.103021979040291e+17,城乡居民,郑州市,2020-01-21,在保,2026-07-02
P202304196,蒋秀兰,女,41,4.1030219830311085e+17,城乡居民,信阳市,2021-10-24,在保,2026-07-02
P202302987,贾国强,男,47,4.10302197709108e+17,城镇职工,驻马店市,2024-05-13,停保,2026-07-02
P202302722,李建华,男,40,4.101021984021068e+17,城镇职工,平顶山市,2020-02-05,在保,2026-07-02
P202300830,蒋飞,男,44,4.1040219801011014e+17,城镇职工,商丘市,2020-01-05,在保,2026-07-02
P202301096,萧俊杰,男,48,4.104021976021121e+17,城镇职工,平顶山市,2022-12-16,在保,2026-07-02
P202300427,谢玲,女,32,4.1070219920916576e+17,城镇职工,洛阳市,2023-10-01,在保,2026-07-02
P202302146,陈嘉伟,男,76,4.104021948042566e+17,城乡居民,商丘市,2022-08-06,在保,2026-07-02
P202303136,贾晓红,女,57,4.101041967041911e+17,城镇职工,平顶山市,2023-10-24,在保,2026-07-02
P202304161,沈婷,女,50,4.103021974030247e+17,灵活就业,周口市,2022-11-08,在保,2026-07-02
P202304065,袁勇,男,32,4.101051992062231e+17,城镇职工,郑州市,2021-09-23,退保,2026-07-02
P202304343,贾佳慧,女,85,4.1020219390313126e+17,城乡居民,驻马店市,2022-08-09,停保,2026-07-02
P202304952,曾慧,女,72,4.1010419520307174e+17,灵活就业,开封市,2020-03-27,在保,2026-07-02
P202303581,蔡天宇,男,88,4.1040219360509626e+17,城乡居民,开封市,2021-09-29,在保,2026-07-02
P202304231,傅晨曦,男,21,4.1030220030820506e+17,城乡居民,安阳市,2022-10-20,在保,2026-07-02
P202302663,苏婷,女,60,4.105021964061423e+17,城乡居民,洛阳市,2020-06-19,在保,2026-07-02
P202302706,黄晨曦,男,68,4.101061956031113e+17,城乡居民,商丘市,2022-10-29,停保,2026-07-02
P202301324,王紫薇,女,58,4.101021966071266e+17,灵活就业,信阳市,2024-04-19,在保,2026-07-02
P202304130,张鹏,男,79,4.1010319450722406e+17,城镇职工,信阳市,2021-12-22,在保,2026-07-02
P202303985,于嘉伟,男,54,4.1050219700903354e+17,灵活就业,许昌市,2022-08-16,在保,2026-07-02
P202304826,郑婷,女,54,4.102021970012659e+17,城乡居民,鹤壁市,2020-03-06,在保,2026-07-02
P202304460,吴伟,男,61,4.1010619630223917e+17,城镇职工,信阳市,2020-07-28,在保,2026-07-02
P202302884,陈秀英,女,58,4.10702196609196e+17,城乡居民,鹤壁市,2021-10-05,退保,2026-07-02
P202302118,曾丽,女,32,4.1050219920904877e+17,城镇职工,新乡市,2024-04-26,在保,2026-07-02
P202300654,赵明,男,30,4.1010519940708077e+17,城乡居民,周口市,2022-09-19,在保,2026-07-02
P202304437,程嘉伟,男,71,4.101041953092172e+17,城乡居民,信阳市,2022-03-07,在保,2026-07-02
P202301019,贾秀兰,女,44,4.102021980032696e+17,城乡居民,南阳市,2022-05-07,在保,2026-07-02
P202300089,黄芳,女,40,4.107021984042316e+17,灵活就业,驻马店市,2020-01-29,在保,2026-07-02
P202301130,蒋萍,女,55,4.101041969110119e+17,城镇职工,鹤壁市,2024-03-04,在保,2026-07-02
P202303774,阎娜,女,36,4.1010519880227334e+17,城镇职工,漯河市,2024-05-15,停保,2026-07-02
P202300009,郭秀英,女,41,4.107021983121122e+17,城镇职工,南阳市,2023-08-09,在保,2026-07-02
P202301887,刘涛,男,35,4.101051989122591e+17,城乡居民,焦作市,2021-04-11,在保,2026-07-02
P202301663,冯晨曦,男,11,4.101032013091923e+17,城镇职工,安阳市,2020-01-01,在保,2026-07-02
P202303911,林玉兰,女,24,4.104022000031598e+17,城乡居民,周口市,2023-05-29,停保,2026-07-02
P202300682,胡芳,女,29,4.104021995112298e+17,城镇职工,驻马店市,2022-03-18,在保,2026-07-02
P202303774,阎娜,女,36,4.1010519880227334e+17,城镇职工,漯河市,2024-05-15,停保,2026-07-02
P202303659,吴永强,男,52,4.101061972011686e+17,城镇职工,平顶山市,2022-06-29,在保,2026-07-02
P202300145,曾雪,女,54,4.1010219700826586e+17,灵活就业,焦作市,2023-05-24,在保,2026-07-02
P202300995,胡斌,男,31,4.1010619930912915e+17,城乡居民,信阳市,2023-07-13,在保,2026-07-02
P202303653,吴语嫣,女,58,4.107021966080964e+17,城乡居民,焦作市,2021-07-24,在保,2026-07-02
P202301742,韩敏,女,46,4.104021978022256e+17,城镇职工,安阳市,2021-06-25,在保,2026-07-02
P202303341,胡淑珍,女,62,4.1010519620308544e+17,灵活就业,郑州市,2021-06-12,在保,2026-07-02
P202303836,程梦瑶,女,42,4.104021982071235e+17,城乡居民,信阳市,2022-03-25,在保,2026-07-02
P202302742,傅莉,女,58,4.101031966031998e+17,城镇职工,鹤壁市,2022-03-22,在保,2026-07-02
P202300152,赵婷,女,56,4.105021968012234e+17,城乡居民,开封市,2023-05-08,在保,2026-07-02
P202301671,郭桂英,女,45,4.101051979122679e+17,城镇职工,新乡市,2022-04-11,在保,2026-07-02
P202303918,何晨曦,男,59,4.102021965032842e+17,城乡居民,南阳市,2020-12-16,在保,2026-07-02
P202301832,李国强,男,54,4.102021970092854e+17,城镇职工,信阳市,2022-05-22,在保,2026-07-02
P202300241,邓强,男,35,4.1010319891102784e+17,城乡居民,南阳市,2020-10-08,在保,2026-07-02
P202300849,苏建国,男,38,4.1030219860824634e+17,城镇职工,开封市,2021-05-12,在保,2026-07-02
P202302173,谢磊,男,44,4.102021980121755e+17,城乡居民,平顶山市,2024-01-18,在保,2026-07-02
P202301882,于美琳,女,79,4.104021945051314e+17,城乡居民,周口市,2020-05-17,在保,2026-07-02
P202300857,胡涛,男,35,4.101051989052418e+17,城镇职工,鹤壁市,2023-02-09,在保,2026-07-02
P202303356,林辉,男,47,4.10106197709092e+17,城乡居民,鹤壁市,2022-08-07,在保,2026-07-02
P202301414,阎思琪,女,88,4.105021936010797e+17,城乡居民,安阳市,2023-04-18,在保,2026-07-02
P202300965,贾莉,女,48,4.10502197605201e+17,灵活就业,开封市,2021-10-13,停保,2026-07-02
P202301418,张嘉伟,男,54,4.1010319700501926e+17,城镇职工,商丘市,2021-11-08,退保,2026-07-02
P202302750,周霞,女,46,4.1070219780812243e+17,城乡居民,平顶山市,2024-02-13,在保,2026-07-02
P202300458,徐欣怡,女,31,4.104021993101907e+17,城乡居民,南阳市,2022-02-28,在保,2026-07-02
P202301104,唐淑珍,女,47,4.1010619770807174e+17,城镇职工,焦作市,2023-07-28,在保,2026-07-02
P202301437,萧玉兰,女,45,4.1030219790324544e+17,城镇职工,新乡市,2021-03-20,在保,2026-07-02
P202304760,王语嫣,女,62,,城乡居民,商丘市,2020-06-12,在保,2026-07-02
P202304085,徐伟,男,73,4.1010419510922925e+17,城乡居民,洛阳市,2021-12-31,在保,2026-07-02
P202301591,高俊杰,男,30,4.104021994051196e+17,城镇职工,安阳市,2022-10-18,退保,2026-07-02
P202303387,吴梦瑶,女,35,4.104021989072449e+17,城镇职工,洛阳市,2020-09-13,在保,2026-07-02
P202300466,孙玉兰,女,46,4.104021978051059e+17,城乡居民,平顶山市,2023-12-15,在保,2026-07-02
P202302674,吴俊杰,男,40,4.103021984032546e+17,城乡,许昌市,2022-10-05,在保,2026-07-02
P202303258,叶淑珍,女,37,4.107021987081355e+17,城乡居民,许昌市,2023-10-16,停保,2026-07-02
P202304294,李文彬,男,46,4.105021978041525e+17,城镇职工,南阳市,2021-10-28,在保,2026-07-02
P202301787,谢鹏,男,44,4.101031980090783e+17,城镇职工,许昌市,2023-01-17,在保,2026-07-02
P202301719,阎萍,女,62,4.103021962111085e+17,城乡居民,商丘市,2023-05-23,在保,2026-07-02
P202300101,徐杰,男,24,4.1030220001022246e+17,城镇职工,漯河市,2023-04-09,在保,2026-07-02
P202304029,,男,78,4.1020219461026477e+17,城镇职工,郑州市,2020-02-22,在保,2026-07-02
P202301706,周美琳,女,45,4.101061979100383e+17,城镇职工,鹤壁市,2022-12-13,在保,2026-07-02
P202303320,何宇航,男,91,4.1020219330803206e+17,城乡居民,周口市,2024-04-20,在保,2026-07-02
P202301050,宋紫薇,女,74,4.1010519500614496e+17,城镇职工,驻马店市,2023-11-11,在保,2026-07-02
P202301407,丁语嫣,女,24,4.1010420000905837e+17,灵活就业,郑州市,2023-06-28,在保,2026-07-02
P202303626,许美琳,女,32,4.1030219920321965e+17,城乡居民,信阳市,2020-08-14,在保,2026-07-02
P202304193,杨文彬,男,73,4.101051951081658e+17,城镇职工,开封市,2022-04-01,在保,2026-07-02
P202301254,苏超,男,56,4.101021968031449e+17,灵活就业,焦作市,2023-08-19,停保,2026-07-02
P202304739,陈晓红,女,25,4.105021999081301e+17,城乡居民,驻马店市,2022-10-06,在保,2026-07-02
P202302421,胡艳,女,68,4.1010519560524186e+17,城乡居民,鹤壁市,2021-09-27,在保,2026-07-02
P202304274,阎思琪,女,30,4.1010319940621376e+17,城乡居民,南阳市,2020-07-01,在保,2026-07-02
