person_id,name,gender,age,id_card,insurance_type,region,register_date,status,name_mask,id_card_mask,person_id_mask
P202301778,唐丽,女,49,410202197509269376,灵活就业,南阳市,2020-04-29,退保,唐*,4102****9376,P2023****8
P202304928,萧淑珍,女,54,410202197009220608,城镇职工,安阳市,2021-01-22,在保,萧**,4102****0608,P2023****8
P202300492,苏宇航,男,76,410302194811205888,灵活就业,鹤壁市,2020-05-26,在保,苏**,4103****5888,P2023****2
P202304654,吴丽,女,61,410502196311078016,城镇职工,平顶山市,2022-04-15,在保,吴*,4105****8016,P2023****4
P202300034,杨海涛,男,30,410106199401013440,城职,商丘市,2021-06-20,在保,杨**,4101****3440,P2023****4
P202303023,董浩然,男,42,410202198202055680,城镇职工,南阳市,2020-12-19,在保,董**,4102****5680,P2023****3
P202303621,贾浩然,男,25,410102199912030592,城乡居民,许昌市,2022-01-13,停保,贾**,4101****0592,P2023****1
P202300486,郭凤英,女,24,410104200010222336,城镇职工,许昌市,2021-07-06,在保,郭**,4101****2336,P2023****6
P202300080,何宇航,男,14,410702201011269568,城乡居民,南阳市,2020-08-23,在保,何**,4107****9568,P2023****0
P202301345,李芳,女,67,410302195707281024,城镇职工,焦作市,2021-09-26,在保,李*,4103****1024,P2023****5
P202300578,薛文博,男,63,410702196107140480,城镇职工,焦作市,2023-02-21,在保,薛**,4107****0480,P2023****8
P202301176,朱淑珍,女,44,410102198011241536,城乡居民,平顶山市,2023-08-22,在保,朱**,4101****1536,P2023****6
P202301488,吕诗涵,女,18,410106200606197760,城乡居民,郑州市,2022-11-13,在保,吕**,4101****7760,P2023****8
P202300498,梁语嫣,女,46,410502197805184576,城乡居民,许昌市,2023-01-09,在保,梁**,4105****4576,P2023****8
P202304103,于涛,男,74,410502195002153216,城镇职工,安阳市,2023-08-19,在保,于*,4105****3216,P2023****3
P202301145,董斌,男,46,410103197810031296,城乡居民,安阳市,2020-07-25,在保,董*,4101****1296,P2023****5
P202303735,魏俊杰,男,64,410302196011163008,城镇职工,鹤壁市,2023-11-11,在保,魏**,4103****3008,P2023****5
P202304238,董娟,女,43,410302198107015872,灵活就业,平顶山市,2024-02-27,停保,董*,4103****5872,P2023****8
P202303244,陈天宇,男,69,410302195507104832,城乡居民,鹤壁市,2022-01-23,在保,陈**,4103****4832,P2023****4
P202301236,韩超,男,79,410102194504153728,城镇职工,新乡市,2020-01-12,在保,韩*,4101****3728,P2023****6
P202304569,高浩然,男,76,410104194810233152,城乡居民,商丘市,2022-07-24,在保,高**,4101****3152,P2023****9
P202304268,沈玉兰,女,14,410105201012258112,城镇职工,安阳市,2020-07-24,在保,沈**,4101****8112,P2023****8
P202300625,陈伟,男,78,410502194602224576,城镇职工,新乡市,2024-01-25,在保,陈*,4105****4576,P2023****5
P202301630,曾勇,男,65,410502195909247808,城乡居民,洛阳市,2023-07-03,在保,曾*,4105****7808,P2023****0
P202300200,冯建国,男,29,410402199512240640,城乡居民,驻马店市,2021-02-28,在保,冯**,4104****0640,P2023****0
P202303614,罗磊,男,57,410103196706233152,灵活就业,驻马店市,2020-03-08,在保,罗*,4101****3152,P2023****4
P202301989,杨国强,男,38,410302198606120640,城乡居民,周口市,2021-08-10,在保,杨**,4103****0640,P2023****9
P202302345,吕磊,男,11,410103201310082496,城镇职工,平顶山市,2021-02-15,在保,吕*,4101****2496,P2023****5
P202303264,袁萍,女,71,410202195310088384,城乡居民,洛阳市,2021-05-12,在保,袁*,4102****8384,P2023****4
P202301906,邓文博,男,58,410102196612195712,城乡居民,开封市,2020-10-25,在保,邓**,4101****5712,P2023****6
P202300766,何丽,女,37,410302198702018752,城镇职工,开封市,2022-03-06,在保,何*,4103****8752,P2023****6
P202300804,董鹏,男,41,410102198308112448,城乡,周口市,2024-01-03,停保,董*,4101****2448,P2023****4
P202301502,陈文彬,男,40,410102198401200512,城镇职工,安阳市,2020-01-01,在保,陈**,4101****0512,P2023****2
P202301771,蔡晨曦,男,50,410702197402271168,城乡居民,周口市,2022-09-18,在保,蔡**,4107****1168,P2023****1
P202300107,罗宇航,男,83,410702194106241344,城镇职工,漯河市,2021-08-27,在保,罗**,4107****1344,P2023****7
P202302965,苏梦瑶,女,72,410105195207062464,城镇职工,许昌市,2024-02-16,在保,苏**,4101****2464,P2023****5
P202300839,卢思琪,女,67,未知,灵活就业,安阳市,2020-09-06,在保,卢**,未知,P2023****9
P202303972,马雪,女,30,410106199411054656,灵活就业,信阳市,2021-05-25,在保,马*,4101****4656,P2023****2
P202300706,曹敏,女,60,410402196410243200,城镇职工,新乡市,2023-02-08,在保,曹*,4104****3200,P2023****6
P202304151,蔡淑珍,女,48,410104197612269376,城镇职工,平顶山市,2021-11-17,在保,蔡**,4101****9376,P2023****1
P202303180,冯伟,男,59,410104196503083264,灵活就业,开封市,2024-03-07,在保,冯*,4101****3264,P2023****0
P202304777,曾思琪,女,49,410105197512057344,城乡居民,安阳市,2023-05-16,在保,曾**,4101****7344,P2023****7
P202300229,林玲,女,37,410502198704143104,灵活就业,郑州市,2023-02-14,停保,林*,4105****3104,P2023****9
P202303337,马美琳,女,25,410502199909076352,城乡居民,新乡市,2022-08-16,在保,马**,4105****6352,P2023****7
P202302269,何慧,女,40,410103198409074944,城乡居民,鹤壁市,2021-04-09,在保,何*,4101****4944,P2023****9
P202303853,邓玲,女,73,410103195106107648,灵活就业,许昌市,2021-02-15,在保,邓*,4101****7648,P2023****3
P202300502,彭娟,女,84,410502194006074240,城乡居民,南阳市,2022-03-19,在保,彭*,4105****4240,P2023****2
P202303129,卢桂英,女,51,410103197303112320,城镇职工,郑州市,2022-03-06,停保,卢**,4101****2320,P2023****9
P202303353,薛语嫣,女,57,410302196709085504,城乡居民,商丘市,2020-04-23,停保,薛**,4103****5504,P2023****3
P202304175,徐晨曦,男,46,410104197809010880,灵活就业,信阳市,2020-06-14,在保,徐**,4101****0880,P2023****5
P202301635,高强,男,43,410502198109280832,城镇职工,漯河市,2023-03-28,停保,高*,4105****0832,P2023****5
P202301481,谢文博,男,63,410402196104086464,城乡居民,焦作市,2021-12-30,在保,谢**,4104****6464,P2023****1
P202302116,丁文彬,男,40,410502198409249920,城镇职工,焦作市,2021-01-17,在保,丁**,4105****9920,P2023****6
P202304000,蔡子轩,男,56,410202196807031168,城镇职工,驻马店市,2023-11-15,在保,蔡**,4102****1168,P2023****0
P202300562,未知,男,87,410103193712171136,城乡居民,平顶山市,2023-04-13,停保,未知,4101****1136,P2023****2
P202304199,程文博,男,0,410106202412236032,城乡居民,南阳市,2021-12-16,在保,程**,4101****6032,P2023****9
P202303698,陈美琳,女,55,410502196910217408,城乡居民,平顶山市,2021-04-16,在保,陈**,4105****7408,P2023****8
P202301745,蒋婷,女,33,410104199102018560,城镇职工,商丘市,2020-07-07,停保,蒋*,4101****8560,P2023****5
P202300280,蔡慧,女,43,410402198108060864,城镇职工,郑州市,2024-04-07,在保,蔡*,4104****0864,P2023****0
P202302267,阎浩,男,17,410102200712084800,城乡居民,南阳市,2020-08-04,在保,阎*,4101****4800,P2023****7
P202300158,李秀兰,女,58,410502196606083968,城镇职工,焦作市,2021-04-04,在保,李**,4105****3968,P2023****8
P202300539,程建华,男,30,410302195611192000,城镇职工,周口市,2024-02-15,在保,程**,4103****2000,P2023****9
P202304115,董晓红,女,79,410104194507118272,灵活就业,许昌市,2020-11-23,在保,董**,4101****8272,P2023****5
P202304458,吕秀英,女,26,410102199808137216,城镇职工,周口市,2022-02-11,停保,吕**,4101****7216,P2023****8
P202301651,李浩然,男,60,410402196407089728,城镇职工,驻马店市,2023-08-07,停保,李**,4104****9728,P2023****1
P202303151,王强,男,65,410502195909056704,城乡居民,驻马店市,2021-09-12,在保,王*,4105****6704,P2023****1
P202300765,朱文博,男,70,410106195406260544,城镇职工,驻马店市,2023-05-18,在保,朱**,4101****0544,P2023****5
P202301865,叶玲,女,73,410106195102201024,城乡居民,焦作市,2023-08-24,在保,叶*,4101****1024,P2023****5
P202303486,罗子轩,未知,40,410502198404264064,灵活就业,信阳市,2021-09-26,在保,罗**,4105****4064,P2023****6
P202300732,卢文博,男,32,410402199201028800,城镇职工,焦作市,2023-05-17,在保,卢**,4104****8800,P2023****2
P202300085,苏诗涵,女,35,410103198908124160,城乡居民,焦作市,2023-10-04,在保,苏**,4101****4160,P2023****5
P202302581,孙萍,女,56,410105196806138560,城乡居民,焦作市,2023-11-10,在保,孙*,4101****8560,P2023****1
P202303208,薛斌,男,64,410202196005212352,城镇职工,平顶山市,2022-07-14,在保,薛*,4102****2352,P2023****8
P202302975,阎秀英,女,66,410105195806271104,灵活就业,周口市,2020-01-15,在保,阎**,4101****1104,P2023****5
P202302697,曾超,男,69,410402195512055616,城镇职工,新乡市,2022-01-16,退保,曾*,4104****5616,P2023****7
P202301339,胡浩然,男,43,410106198103040256,城镇职工,周口市,2020-03-21,在保,胡**,4101****0256,P2023****9
P202303903,董莉,女,80,410502194409139712,城镇职工,商丘市,2023-09-08,在保,董*,4105****9712,P2023****3
P202300912,胡伟,男,53,410502197112243840,城镇职工,南阳市,2022-05-01,停保,胡*,4105****3840,P2023****2
P202300030,王浩,男,44,410702198002035520,城乡居民,驻马店市,2021-06-27,在保,王*,4107****5520,P2023****0
P202300678,唐嘉伟,男,81,410104194308111616,城乡居民,许昌市,2023-01-23,退保,唐**,4101****1616,P2023****8
P202304502,袁玲,女,25,410105199912258304,灵活就业,新乡市,2020-02-25,在保,袁*,4101****8304,P2023****2
P202303686,邓芳,女,34,410102199005066688,城乡居民,焦作市,2022-07-24,在保,邓*,4101****6688,P2023****6
P202303742,许静,女,59,410104196512216384,城镇职工,郑州市,2022-12-29,在保,许*,4101****6384,P2023****2
P202301621,魏杰,男,52,410106197205187072,城镇职工,商丘市,2020-05-20,在保,魏*,4101****7072,P2023****1
P202300423,孙杰,男,45,410103197907024384,城乡居民,驻马店市,2021-06-25,在保,孙*,4101****4384,P2023****3
P202301666,高萍,女,49,410103197512242112,城镇职工,商丘市,2024-03-29,停保,高*,4101****2112,P2023****6
P202304990,周鹏,男,93,410106193109250112,灵活就业,南阳市,2023-05-26,在保,周*,4101****0112,P2023****0
P202302728,吕子轩,男,74,410106195012086464,城镇职工,南阳市,2022-05-19,在保,吕**,4101****6464,P2023****8
P202303194,许美琳,女,38,410102198612256064,城乡居民,洛阳市,2023-01-18,在保,许**,4101****6064,P2023****4
P202303969,朱超,男,86,410103193805215296,城乡居民,焦作市,2024-03-09,在保,朱*,4101****5296,P2023****9
P202300169,薛凤英,女,45,410302197906065088,灵活就业,焦作市,2022-11-29,在保,薛**,4103****5088,P2023****9
P202303835,赵思琪,女,32,410105199211117184,城乡居民,漯河市,2020-09-21,在保,赵**,4101****7184,P2023****5
P202303482,苏秀英,女,3,410502202109038592,城乡居民,驻马店市,2022-04-06,在保,苏**,4105****8592,P2023****2
P202303470,胡子轩,男,46,410402197811053248,城乡居民,安阳市,2024-03-11,在保,胡**,4104****3248,P2023****0
P202300228,周建国,男,30,410105199412193280,灵活就业,周口市,2024-05-01,在保,周**,4101****3280,P2023****8
P202302655,高伟,男,38,410202198612262208,城镇职工,许昌市,2021-04-24,在保,高*,4102****2208,P2023****5
P202300487,韩艳,女,38,410104198608260096,城镇职工,南阳市,2022-10-20,在保,韩*,4101****0096,P2023****7
P202301695,冯佳慧,女,52,410106197209199808,城镇职工,驻马店市,2020-02-16,在保,冯**,4101****9808,P2023****5
P202301201,罗俊杰,男,52,410106197211164992,城镇职工,周口市,2022-01-01,在保,罗**,4101****4992,P2023****1
P202302686,沈雨彤,女,55,410103196904052672,城乡居民,焦作市,2024-04-12,停保,沈**,4101****2672,P2023****6
P202303173,沈杰,男,26,410502199803174784,城乡居民,漯河市,2020-12-16,在保,沈*,4105****4784,P2023****3
P202300024,杨嘉伟,男,24,410105200003144960,城乡居民,新乡市,2022-04-01,停保,杨**,4101****4960,P2023****4
P202303085,袁佳慧,女,46,410302197810154688,城镇职工,安阳市,2021-01-23,在保,袁**,4103****4688,P2023****5
P202303131,袁霞,女,48,410402197601212544,城乡居民,平顶山市,2020-08-06,在保,袁*,4104****2544,P2023****1
P202302537,阎梦瑶,女,67,410302195709102720,城镇职工,信阳市,2023-03-22,在保,阎**,4103****2720,P2023****7
P202302898,宋美琳,女,81,410702194301265920,城乡,安阳市,2023-12-16,停保,宋**,4107****5920,P2023****8
P202304841,萧强,男,35,410302198905156544,城乡居民,许昌市,2021-11-08,在保,萧*,4103****6544,P2023****1
P202302094,郑雪,女,29,410702199503016704,城镇职工,周口市,2024-01-25,停保,郑*,4107****6704,P2023****4
P202300240,萧丽,女,65,410202195903057408,城乡居民,信阳市,2021-01-11,停保,萧*,4102****7408,P2023****0
P202303572,未知,女,73,410502195109183552,城乡居民,洛阳市,2020-03-09,在保,未知,4105****3552,P2023****2
P202303766,王慧,女,50,410104197402091968,城镇职工,许昌市,2022-12-04,在保,王*,4101****1968,P2023****6
P202302017,黄涛,男,45,410202197906231552,城镇职工,平顶山市,2022-03-11,在保,黄*,4102****1552,P2023****7
P202304039,马玲,女,49,410105197501171008,城乡居民,新乡市,2022-04-14,在保,马*,4101****1008,P2023****9
P202300298,吕海涛,男,55,410202196912076416,城镇职工,漯河市,2022-04-23,在保,吕**,4102****6416,P2023****8
P202300249,孙嘉伟,男,81,410102194304191488,灵活就业,漯河市,2020-06-06,在保,孙**,4101****1488,P2023****9
P202302136,傅辉,男,39,410105198508186816,城乡居民,南阳市,2022-07-08,在保,傅*,4101****6816,P2023****6
P202300374,刘宇航,男,67,410702195707223296,灵活就业,许昌市,2020-02-22,在保,刘**,4107****3296,P2023****4
P202300882,曾艳,女,40,410402198405070080,城乡居民,信阳市,2020-05-11,在保,曾*,4104****0080,P2023****2
P202302308,于娟,女,46,410102197809089792,灵活就业,郑州市,2024-02-27,在保,于*,4101****9792,P2023****8
P202303888,孙雨彤,女,47,410104197706056704,城乡居民,漯河市,2020-12-01,在保,孙**,4101****6704,P2023****8
P202304504,张淑珍,女,57,410105196708126400,城镇职工,安阳市,2021-08-01,在保,张**,4101****6400,P2023****4
P202302992,王慧,女,60,410402196412270656,城镇职工,开封市,2020-07-11,在保,王*,4104****0656,P2023****2
P202300725,郭秀英,女,53,410502197108142144,城乡居民,平顶山市,2020-06-06,在保,郭**,4105****2144,P2023****5
P202302221,唐文彬,男,43,410104198104263360,灵活就业,安阳市,2023-01-11,在保,唐**,4101****3360,P2023****1
P202302218,袁思琪,女,48,410105197608130624,城镇职工,驻马店市,2022-12-12,在保,袁**,4101****0624,P2023****8
P202301469,冯凤英,女,28,410202199607158912,灵活就业,信阳市,2020-11-08,在保,冯**,4102****8912,P2023****9
P202301593,萧晨曦,男,57,410103196712185152,城镇职工,南阳市,2024-02-29,在保,萧**,4101****5152,P2023****3
P202303952,冯凤英,女,34,410102199002225024,城乡居民,平顶山市,2020-12-13,停保,冯**,4101****5024,P2023****2
P202302446,徐强,男,54,410105197011011456,城乡居民,开封市,2020-02-17,在保,徐*,4101****1456,P2023****6
P202303092,蔡永强,男,63,410106196108056448,灵活就业,信阳市,2021-03-07,在保,蔡**,4101****6448,P2023****2
P202300928,未知,男,56,410105196806156352,灵活就业,驻马店市,2022-04-26,在保,未知,4101****6352,P2023****8
P202304580,朱雨彤,女,64,410103196003171648,城乡居民,商丘市,2020-07-25,在保,朱**,4101****1648,P2023****0
P202304653,胡紫薇,女,50,410302197405262976,城乡居民,洛阳市,2020-11-20,在保,胡**,4103****2976,P2023****3
P202300600,黄莉,女,56,410202196809048448,城乡居民,开封市,2021-09-22,退保,黄*,4102****8448,P2023****0
P202301393,林桂英,女,86,410103193812053312,城乡居民,平顶山市,2023-01-01,在保,林**,4101****3312,P2023****3
P202302228,薛雨彤,女,39,410302198501188160,城乡居民,安阳市,2023-01-17,退保,薛**,4103****8160,P2023****8
P202304177,萧娟,女,49,410105197505049024,城乡居民,许昌市,2021-05-20,在保,萧*,4101****9024,P2023****7
P202301610,吴娜,女,45,410105197909205056,灵活就业,漯河市,2021-02-18,在保,吴*,4101****5056,P2023****0
P202304291,阎敏,女,59,410302196505109888,城镇职工,商丘市,2023-09-12,在保,阎*,4103****9888,P2023****1
P202302877,程波,男,33,410502199108100224,城乡居民,鹤壁市,2020-11-03,在保,程*,4105****0224,P2023****7
P202303289,董嘉伟,男,38,410402198609131392,灵活就业,驻马店市,2023-12-09,在保,董**,4104****1392,P2023****9
P202302143,罗雪,女,53,410202197106202304,城镇职工,南阳市,2021-10-30,在保,罗*,4102****2304,P2023****3
P202300472,蒋淑珍,女,8,410105201609017536,城镇职工,漯河市,2020-07-03,在保,蒋**,4101****7536,P2023****2
P202301245,沈嘉伟,男,38,410103198602067456,城乡居民,开封市,2021-10-12,在保,沈**,4101****7456,P2023****5
P202303691,周紫薇,女,59,410502196501263360,城镇职工,焦作市,2020-05-29,在保,周**,4105****3360,P2023****1
P202304222,陈玉兰,女,65,410103195912057600,城乡居民,洛阳市,2022-12-13,在保,陈**,4101****7600,P2023****2
P202301074,郑慧,女,26,410702199809011648,灵活就业,许昌市,2021-06-05,停保,郑*,4107****1648,P2023****4
P202301045,赵秀英,女,46,410103197807254464,城镇职工,南阳市,2021-11-04,在保,赵**,4101****4464,P2023****5
P202301715,马欣怡,女,40,410103198404109184,灵活就业,郑州市,2022-12-16,退保,马**,4101****9184,P2023****5
P202304041,王志强,男,53,410106197109035648,城镇职工,洛阳市,2021-03-31,在保,王**,4101****5648,P2023****1
P202304779,彭鹏,男,30,未知,城镇职工,漯河市,2023-11-09,在保,彭*,未知,P2023****9
P202301035,李国强,男,41,410402198310288704,城乡居民,安阳市,2020-11-26,在保,李**,4104****8704,P2023****5
P202304418,徐超,男,14,410302201002145216,城镇职工,漯河市,2021-08-22,在保,徐*,4103****5216,P2023****8
P202301753,陈国强,男,38,410702198607157760,城镇职工,郑州市,2023-02-15,在保,陈**,4107****7760,P2023****3
P202303650,韩国强,男,42,410202198208213632,城乡居民,开封市,2023-06-06,在保,韩**,4102****3632,P2023****0
P202304809,朱桂英,女,75,410106194903116416,灵活就业,开封市,2022-12-27,在保,朱**,4101****6416,P2023****9
P202301555,赵嘉伟,男,45,410302197904029120,城乡居民,郑州市,2020-01-21,在保,赵**,4103****9120,P2023****5
P202304196,蒋秀兰,女,41,410302198303110848,城乡居民,信阳市,2021-10-24,在保,蒋**,4103****0848,P2023****6
P202302987,贾国强,男,47,410302197709107968,城镇职工,驻马店市,2024-05-13,停保,贾**,4103****7968,P2023****7
P202302722,李建华,男,40,410102198402106816,城镇职工,平顶山市,2020-02-05,在保,李**,4101****6816,P2023****2
P202300830,蒋飞,男,44,410402198010110144,城镇职工,商丘市,2020-01-05,在保,蒋*,4104****0144,P2023****0
P202301096,萧俊杰,男,48,410402197602112128,城镇职工,平顶山市,2022-12-16,在保,萧**,4104****2128,P2023****6
P202300427,谢玲,女,32,410702199209165760,城镇职工,洛阳市,2023-10-01,在保,谢*,4107****5760,P2023****7
P202302146,陈嘉伟,男,76,410402194804256576,城乡居民,商丘市,2022-08-06,在保,陈**,4104****6576,P2023****6
P202303136,贾晓红,女,57,410104196704191104,城镇职工,平顶山市,2023-10-24,在保,贾**,4101****1104,P2023****6
P202304161,沈婷,女,50,410302197403024704,灵活就业,周口市,2022-11-08,在保,沈*,4103****4704,P2023****1
P202304065,袁勇,男,32,410105199206223104,城镇职工,郑州市,2021-09-23,退保,袁*,4101****3104,P2023****5
P202304343,贾佳慧,女,85,410202193903131264,城乡居民,驻马店市,2022-08-09,停保,贾**,4102****1264,P2023****3
P202304952,曾慧,女,72,410104195203071744,灵活就业,开封市,2020-03-27,在保,曾*,4101****1744,P2023****2
P202303581,蔡天宇,男,88,410402193605096256,城乡居民,开封市,2021-09-29,在保,蔡**,4104****6256,P2023****1
P202304231,傅晨曦,男,21,410302200308205056,城乡居民,安阳市,2022-10-20,在保,傅**,4103****5056,P2023****1
P202302663,苏婷,女,60,410502196406142272,城乡居民,洛阳市,2020-06-19,在保,苏*,4105****2272,P2023****3
P202302706,黄晨曦,男,68,410106195603111296,城乡居民,商丘市,2022-10-29,停保,黄**,4101****1296,P2023****6
P202301324,王紫薇,女,58,410102196607126592,灵活就业,信阳市,2024-04-19,在保,王**,4101****6592,P2023****4
P202304130,张鹏,男,79,410103194507224064,城镇职工,信阳市,2021-12-22,在保,张*,4101****4064,P2023****0
P202303985,于嘉伟,男,54,410502197009033536,灵活就业,许昌市,2022-08-16,在保,于**,4105****3536,P2023****5
P202304826,郑婷,女,54,410202197001265920,城乡居民,鹤壁市,2020-03-06,在保,郑*,4102****5920,P2023****6
P202304460,吴伟,男,61,410106196302239168,城镇职工,信阳市,2020-07-28,在保,吴*,4101****9168,P2023****0
P202302884,陈秀英,女,58,410702196609196032,城乡居民,鹤壁市,2021-10-05,退保,陈**,4107****6032,P2023****4
P202302118,曾丽,女,32,410502199209048768,城镇职工,新乡市,2024-04-26,在保,曾*,4105****8768,P2023****8
P202300654,赵明,男,30,410105199407080768,城乡居民,周口市,2022-09-19,在保,赵*,4101****0768,P2023****4
P202304437,程嘉伟,男,71,410104195309217216,城乡居民,信阳市,2022-03-07,在保,程**,4101****7216,P2023****7
P202301019,贾秀兰,女,44,410202198003269632,城乡居民,南阳市,2022-05-07,在保,贾**,4102****9632,P2023****9
P202300089,黄芳,女,40,410702198404231616,灵活就业,驻马店市,2020-01-29,在保,黄*,4107****1616,P2023****9
P202301130,蒋萍,女,55,410104196911011904,城镇职工,鹤壁市,2024-03-04,在保,蒋*,4101****1904,P2023****0
P202303774,阎娜,女,36,410105198802273344,城镇职工,漯河市,2024-05-15,停保,阎*,4101****3344,P2023****4
P202300009,郭秀英,女,41,410702198312112192,城镇职工,南阳市,2023-08-09,在保,郭**,4107****2192,P2023****9
P202301887,刘涛,男,35,410105198912259072,城乡居民,焦作市,2021-04-11,在保,刘*,4101****9072,P2023****7
P202301663,冯晨曦,男,11,410103201309192320,城镇职工,安阳市,2020-01-01,在保,冯**,4101****2320,P2023****3
P202303911,林玉兰,女,24,410402200003159808,城乡居民,周口市,2023-05-29,停保,林**,4104****9808,P2023****1
P202300682,胡芳,女,29,410402199511229824,城镇职工,驻马店市,2022-03-18,在保,胡*,4104****9824,P2023****2
P202303774,阎娜,女,36,410105198802273344,城镇职工,漯河市,2024-05-15,停保,阎*,4101****3344,P2023****4
P202303659,吴永强,男,52,410106197201168576,城镇职工,平顶山市,2022-06-29,在保,吴**,4101****8576,P2023****9
P202300145,曾雪,女,54,410102197008265856,灵活就业,焦作市,2023-05-24,在保,曾*,4101****5856,P2023****5
P202300995,胡斌,男,31,410106199309129152,城乡居民,信阳市,2023-07-13,在保,胡*,4101****9152,P2023****5
P202303653,吴语嫣,女,58,410702196608096384,城乡居民,焦作市,2021-07-24,在保,吴**,4107****6384,P2023****3
P202301742,韩敏,女,46,410402197802225600,城镇职工,安阳市,2021-06-25,在保,韩*,4104****5600,P2023****2
P202303341,胡淑珍,女,62,410105196203085440,灵活就业,郑州市,2021-06-12,在保,胡**,4101****5440,P2023****1
P202303836,程梦瑶,女,42,410402198207123520,城乡居民,信阳市,2022-03-25,在保,程**,4104****3520,P2023****6
P202302742,傅莉,女,58,410103196603199808,城镇职工,鹤壁市,2022-03-22,在保,傅*,4101****9808,P2023****2
P202300152,赵婷,女,56,410502196801223424,城乡居民,开封市,2023-05-08,在保,赵*,4105****3424,P2023****2
P202301671,郭桂英,女,45,410105197912267904,城镇职工,新乡市,2022-04-11,在保,郭**,4101****7904,P2023****1
P202303918,何晨曦,男,59,410202196503284224,城乡居民,南阳市,2020-12-16,在保,何**,4102****4224,P2023****8
P202301832,李国强,男,54,410202197009285376,城镇职工,信阳市,2022-05-22,在保,李**,4102****5376,P2023****2
P202300241,邓强,男,35,410103198911027840,城乡居民,南阳市,2020-10-08,在保,邓*,4101****7840,P2023****1
P202300849,苏建国,男,38,410302198608246336,城镇职工,开封市,2021-05-12,在保,苏**,4103****6336,P2023****9
P202302173,谢磊,男,44,410202198012175488,城乡居民,平顶山市,2024-01-18,在保,谢*,4102****5488,P2023****3
P202301882,于美琳,女,79,410402194505131392,城乡居民,周口市,2020-05-17,在保,于**,4104****1392,P2023****2
P202300857,胡涛,男,35,410105198905241792,城镇职工,鹤壁市,2023-02-09,在保,胡*,4101****1792,P2023****7
P202303356,林辉,男,47,410106197709091968,城乡居民,鹤壁市,2022-08-07,在保,林*,4101****1968,P2023****6
P202301414,阎思琪,女,88,410502193601079680,城乡居民,安阳市,2023-04-18,在保,阎**,4105****9680,P2023****4
P202300965,贾莉,女,48,410502197605201024,灵活就业,开封市,2021-10-13,停保,贾*,4105****1024,P2023****5
P202301418,张嘉伟,男,54,410103197005019264,城镇职工,商丘市,2021-11-08,退保,张**,4101****9264,P2023****8
P202302750,周霞,女,46,410702197808122432,城乡居民,平顶山市,2024-02-13,在保,周*,4107****2432,P2023****0
P202300458,徐欣怡,女,31,410402199310190720,城乡居民,南阳市,2022-02-28,在保,徐**,4104****0720,P2023****8
P202301104,唐淑珍,女,47,410106197708071744,城镇职工,焦作市,2023-07-28,在保,唐**,4101****1744,P2023****4
P202301437,萧玉兰,女,45,410302197903245440,城镇职工,新乡市,2021-03-20,在保,萧**,4103****5440,P2023****7
P202304760,王语嫣,女,62,未知,城乡居民,商丘市,2020-06-12,在保,王**,未知,P2023****0
P202304085,徐伟,男,73,410104195109229248,城乡居民,洛阳市,2021-12-31,在保,徐*,4101****9248,P2023****5
